campaign_type,email_subject,audience,sent_datetime,delivered,opened,open_rate_pct,click_rate_pct,notes
Broadcast,Cohort 3: 40 hours left to enroll — extended through Sunday 15:00 UTC,To all course leads for Become an Agentic Architect,2026-02-20 20:06,1854,648,35.0,0.6,Extension broadcast
Broadcast,Cohort 3 enrollments close tomorrow — your LL25 promo code is still waiting,To students who signed up for Launch a Production Agentic Application,2026-02-19 19:56,136,67,49.3,1.5,LL Feb 18 narrowcast follow-up 2
Broadcast,The framework behind the skills gap (+ Cohort 3 closes tomorrow),To all course leads for Become an Agentic Architect,2026-02-19 15:12,1852,636,34.3,0.7,SDLC + deadline
Broadcast,Summary of today's Lightning Lesson + few important messages about my Course,To all course leads for Become an Agentic Architect,2026-02-18 21:38,1858,694,37.4,1.8,LL summary broadcast
