internal_date_slug,sent_date,sent_time_local,email_subject,audience_segment,recipients,opens,open_rate_pct,click_rate_pct,source_file_relative
2026-02-07,2026-02-07,07:46,The real cost of "vibe coding" with AI,To all course leads for Become an Agentic Architect,1605,577,36.0,1.8,final/Maven Email Broadcast/2026-02-07 - The real cost of “vibe coding” with AI.md
2026-02-05,2026-02-05,15:50,Why I stopped "vibe coding" and built this course,To all course leads for Become an Agentic Architect,1604,602,37.5,0.0,final/Maven Email Broadcast/2026-02-05 - Why I stopped “vibe coding” and built this course.md
2026-02-05,2026-02-05,11:43,Resources from "Engineering Effective Context Systems" Lightning Lesson,To students who signed up for Engineer Effective Context Systems,46,25,54.3,4.3,final/Maven Email Broadcast/2026-02-05 - Resources from "Engineering Effective Context Systems" Lightning Lesson ⚡.md
2026-02-02,2026-02-02,16:36,What hundreds of engineers learned about Agentic Architecture last week,To all course leads for Become an Agentic Architect,1589,588,37.0,1.3,final/Maven Email Broadcast/2026-02-02 - What hundreds of engineers learned about Agentic Architecture last week.md
2026-02-01,2026-02-01,12:01,Become an Agentic Architect: 35% Early Bird discount extended until TONIGHT,To all course leads for Become an Agentic Architect,1595,556,34.9,1.6,final/Maven Email Broadcast/2026-02-01 - Become an Agentic Architect_ 35% Early Bird discount extended until TONIGHT🌙.md
